version              n    time(s)  Normalized(ns)
ver4f_local \t   02000  0.0102   2.5482 


ver2f_local \t   04000  0.1273   7.9580 
ver2f_local \t   04000  0.1253   7.8292 
ver2f_local \t   04000  0.1235   7.7195 
ver2f_local \t   04000  0.1271   7.9413 
ver2f_local \t   04000  0.1387   8.6713 
ver2f_local \t   04000  0.1408   8.7988 
ver2f_local \t   04000  0.1444   9.0239 
ver2f_local \t   04000  0.1419   8.8716 
ver2f_local \t   04000  0.1366   8.5354 
ver2f_local \t   04000  0.1275   7.9704 
ver2f_local \t   04000  0.1207   7.5413 
ver2f_local \t   04000  0.1224   7.6529 
ver2f_local \t   04000  0.1213   7.5821 
ver2f_local \t   04000  0.1225   7.6557 
ver2f_local \t   04000  0.1219   7.6173 
ver2f_local \t   04000  0.1186   7.4139 
ver2f_local \t   04000  0.1278   7.9854 
ver2f_local \t   04000  0.1282   8.0120 
ver2f_local \t   04000  0.1203   7.5178 
ver2f_local \t   04000  0.1228   7.6722 


ver4f_local \t   03000  0.0369   4.0980 
ver4f_local \t   03000  0.0374   4.1538 
ver4f_local \t   03000  0.0378   4.2046 
ver4f_local \t   03000  0.0405   4.5011 
ver4f_local \t   03000  0.0402   4.4674 
ver4f_local \t   03000  0.0408   4.5351 
ver4f_local \t   03000  0.0376   4.1787 
ver4f_local \t   03000  0.0354   3.9370 
ver4f_local \t   03000  0.0354   3.9322 
ver4f_local \t   03000  0.0365   4.0580 
ver4f_local \t   03000  0.0367   4.0781 
ver4f_local \t   03000  0.0375   4.1706 
ver4f_local \t   03000  0.0368   4.0860 
ver4f_local \t   03000  0.0358   3.9737 
ver4f_local \t   03000  0.0359   3.9836 
ver4f_local \t   03000  0.0388   4.3129 
ver4f_local \t   03000  0.0356   3.9596 
ver4f_local \t   03000  0.0354   3.9358 
ver4f_local \t   03000  0.0354   3.9328 
ver4f_local \t   03000  0.0364   4.0476 


ver1d_local \t   04000  0.0519   3.2441 
ver1d_local \t   04000  0.0524   3.2775 
ver1d_local \t   04000  0.0521   3.2573 
ver1d_local \t   04000  0.0526   3.2877 
ver1d_local \t   04000  0.0553   3.4543 
ver1d_local \t   04000  0.0539   3.3664 
ver1d_local \t   04000  0.0541   3.3804 
ver1d_local \t   04000  0.0524   3.2743 
ver1d_local \t   04000  0.0528   3.3022 
ver1d_local \t   04000  0.0525   3.2813 
ver1d_local \t   04000  0.0532   3.3219 
ver1d_local \t   04000  0.0541   3.3786 
ver1d_local \t   04000  0.0533   3.3301 
ver1d_local \t   04000  0.0533   3.3284 
ver1d_local \t   04000  0.0536   3.3497 
ver1d_local \t   04000  0.0602   3.7609 
ver1d_local \t   04000  0.0547   3.4202 
ver1d_local \t   04000  0.0552   3.4522 
ver1d_local \t   04000  0.0544   3.4019 
ver1d_local \t   04000  0.0543   3.3921 
ver1d_local \t   04000  0.0534   3.3374 
ver1d_local \t   04000  0.0524   3.2729 
ver1d_local \t   04000  0.0525   3.2808 
ver1d_local \t   04000  0.0530   3.3143 
ver1d_local \t   04000  0.0531   3.3203 
ver1d_local \t   04000  0.0525   3.2785 
ver1d_local \t   04000  0.0532   3.3267 
ver1d_local \t   04000  0.0531   3.3192 
ver1d_local \t   04000  0.0533   3.3323 
ver1d_local \t   04000  0.0522   3.2649 
ver1d_local \t   04000  0.0536   3.3470 
ver1d_local \t   04000  0.0521   3.2563 
ver1d_local \t   04000  0.0521   3.2593 
ver1d_local \t   04000  0.0554   3.4599 
ver1d_local \t   04000  0.0545   3.4046 
ver1d_local \t   04000  0.0586   3.6654 
ver1d_local \t   04000  0.0536   3.3495 
ver1d_local \t   04000  0.0535   3.3459 
ver1d_local \t   04000  0.0521   3.2585 
ver1d_local \t   04000  0.0520   3.2496 
ver1d_local \t   04000  0.0522   3.2605 
ver1d_local \t   04000  0.0537   3.3586 
ver1d_local \t   04000  0.0590   3.6865 
ver1d_local \t   04000  0.0573   3.5801 
ver1d_local \t   04000  0.0553   3.4569 
ver1d_local \t   04000  0.0566   3.5387 
ver1d_local \t   04000  0.0535   3.3459 
ver1d_local \t   04000  0.0543   3.3919 
ver1d_local \t   04000  0.0536   3.3469 
ver1d_local \t   04000  0.0718   4.4871 


ver3f_local \t   03000  0.0106   1.1791 
ver3f_local \t   03000  0.0117   1.3017 
ver3f_local \t   03000  0.0108   1.2008 
ver3f_local \t   03000  0.0112   1.2427 
ver3f_local \t   03000  0.0115   1.2810 
ver3f_local \t   03000  0.0103   1.1500 
ver3f_local \t   03000  0.0112   1.2391 
ver3f_local \t   03000  0.0110   1.2214 
ver3f_local \t   03000  0.0106   1.1783 
ver3f_local \t   03000  0.0107   1.1929 
ver3f_local \t   03000  0.0109   1.2110 
ver3f_local \t   03000  0.0107   1.1844 
ver3f_local \t   03000  0.0113   1.2579 
ver3f_local \t   03000  0.0105   1.1643 
ver3f_local \t   03000  0.0107   1.1924 
ver3f_local \t   03000  0.0113   1.2572 
ver3f_local \t   03000  0.0109   1.2123 
ver3f_local \t   03000  0.0114   1.2632 
ver3f_local \t   03000  0.0148   1.6431 
ver3f_local \t   03000  0.0132   1.4711 


ver1d_local \t   00500  0.0009   3.4080 
ver1d_local \t   00500  0.0009   3.4360 
ver1d_local \t   00500  0.0009   3.5320 
ver1d_local \t   00500  0.0008   3.3080 
ver1d_local \t   00500  0.0008   3.3640 
ver1d_local \t   00500  0.0009   3.6800 
ver1d_local \t   00500  0.0010   3.8440 
ver1d_local \t   00500  0.0009   3.4600 
ver1d_local \t   00500  0.0008   3.3600 
ver1d_local \t   00500  0.0008   3.3840 
ver1d_local \t   00500  0.0015   5.8280 
ver1d_local \t   00500  0.0008   3.3000 
ver1d_local \t   00500  0.0010   3.8320 
ver1d_local \t   00500  0.0013   5.2160 
ver1d_local \t   00500  0.0009   3.6760 
ver1d_local \t   00500  0.0012   4.7520 
ver1d_local \t   00500  0.0009   3.7080 
ver1d_local \t   00500  0.0009   3.7080 
ver1d_local \t   00500  0.0010   3.8520 
ver1d_local \t   00500  0.0009   3.5480 
ver1d_local \t   00500  0.0009   3.4920 
ver1d_local \t   00500  0.0009   3.4040 
ver1d_local \t   00500  0.0009   3.5840 
ver1d_local \t   00500  0.0009   3.5320 
ver1d_local \t   00500  0.0009   3.6280 
ver1d_local \t   00500  0.0008   3.2760 
ver1d_local \t   00500  0.0008   3.3240 
ver1d_local \t   00500  0.0009   3.6000 
ver1d_local \t   00500  0.0010   3.8320 
ver1d_local \t   00500  0.0008   3.3880 
ver1d_local \t   00500  0.0009   3.4520 
ver1d_local \t   00500  0.0008   3.3880 
ver1d_local \t   00500  0.0009   3.6280 
ver1d_local \t   00500  0.0009   3.4760 
ver1d_local \t   00500  0.0009   3.4560 
ver1d_local \t   00500  0.0008   3.3640 
ver1d_local \t   00500  0.0010   4.0920 
ver1d_local \t   00500  0.0010   3.8680 
ver1d_local \t   00500  0.0009   3.6560 
ver1d_local \t   00500  0.0009   3.5400 
ver1d_local \t   00500  0.0008   3.3000 
ver1d_local \t   00500  0.0009   3.4760 
ver1d_local \t   00500  0.0008   3.1880 
ver1d_local \t   00500  0.0008   3.2400 
ver1d_local \t   00500  0.0008   3.2200 
ver1d_local \t   00500  0.0008   3.2360 
ver1d_local \t   00500  0.0008   3.1920 
ver1d_local \t   00500  0.0008   3.2440 
ver1d_local \t   00500  0.0008   3.3000 
ver1d_local \t   00500  0.0008   3.1840 


ver1f_local \t   07000  0.1630   3.3258 
ver1f_local \t   07000  0.1652   3.3712 
ver1f_local \t   07000  0.1674   3.4154 
ver1f_local \t   07000  0.1662   3.3913 
ver1f_local \t   07000  0.1696   3.4604 
ver1f_local \t   07000  0.1695   3.4591 
ver1f_local \t   07000  0.1606   3.2778 
ver1f_local \t   07000  0.1648   3.3630 
ver1f_local \t   07000  0.1619   3.3047 
ver1f_local \t   07000  0.1625   3.3169 
ver1f_local \t   07000  0.1642   3.3503 
ver1f_local \t   07000  0.1608   3.2810 
ver1f_local \t   07000  0.1637   3.3407 
ver1f_local \t   07000  0.1636   3.3387 
ver1f_local \t   07000  0.1673   3.4141 
ver1f_local \t   07000  0.1666   3.4002 
